key,base,offset,value,default_type,default,default_ispublic,defaults_blendalpha,tv_type,tv,tv_ispublic,tv_blendalpha,watch_type,watch,watch_ispublic,watch_blendalpha
THEME_CARD_CALENDAR_NON_CURRENT_MONTH_DAY_COLOR,THEME_CALENDAR_BASE,46,3546,ThemeConstantsType::COLOR,Color(0x4B181819),TRUE,,,,,,,,,
THEME_CARD_CALENDAR_FOCUS_AREA_BACKGROUND_COLOR,THEME_CALENDAR_BASE,47,3547,ThemeConstantsType::COLOR,Color(0xFF0A59F7),TRUE,,,,,,,,,
THEME_CARD_CALENDAR_FOCUS_DAY_COLOR,THEME_CALENDAR_BASE,48,3548,ThemeConstantsType::COLOR,Color(0xFFFFFFFF),TRUE,,,,,,,,,
THEME_CARD_CALENDAR_TOP_PADDING,THEME_CALENDAR_BASE,49,3549,,,,,,,,,,,,
THEME_CARD_CALENDAR_WEEK_HEIGHT,THEME_CALENDAR_BASE,50,3550,ThemeConstantsType::DIMENSION,14.0_vp,TRUE,,,,,,,,,
THEME_CARD_CALENDAR_DAY_HEIGHT,THEME_CALENDAR_BASE,51,3551,ThemeConstantsType::DIMENSION,44.0_vp,TRUE,,,,,,,,,
THEME_CARD_CALENDAR_WEEK_WIDTH,THEME_CALENDAR_BASE,52,3552,ThemeConstantsType::DIMENSION,44.0_vp,TRUE,,,,,,,,,
THEME_CARD_CALENDAR_DAY_WIDTH,THEME_CALENDAR_BASE,53,3553,ThemeConstantsType::DIMENSION,44.0_vp,TRUE,,,,,,,,,
THEME_CARD_CALENDAR_FOCUS_AREA_RADIUS,THEME_CALENDAR_BASE,54,3554,ThemeConstantsType::DIMENSION,22.0_vp,TRUE,,,,,,,,,
THEME_CARD_CALENDAR_WEEK_FONT_SIZE,THEME_CALENDAR_BASE,55,3555,ThemeConstantsType::DIMENSION,10.0_fp,TRUE,,,,,,,,,
THEME_CARD_CALENDAR_DAY_FONT_SIZE,THEME_CALENDAR_BASE,56,3556,ThemeConstantsType::DIMENSION,16.0_vp,TRUE,,,,,,,,,
THEME_CARD_CALENDAR_TOUCH_COLOR,THEME_CALENDAR_BASE,57,3557,ThemeConstantsType::COLOR,Color(0x320A59F7),TRUE,,,,,,,,,
THEME_CARD_CALENDAR_LUNAR_COLOR,THEME_CALENDAR_BASE,58,3558,ThemeConstantsType::COLOR,Color(0x96181819),TRUE,,,,,,,,,
THEME_CARD_CALENDAR_WEEKEND_LUNAR_COLOR,THEME_CALENDAR_BASE,59,3559,ThemeConstantsType::COLOR,Color(0x7D181819),TRUE,,,,,,,,,
THEME_CARD_CALENDAR_NON_CURRENT_MONTH_LUNAR_COLOR,THEME_CALENDAR_BASE,60,3560,ThemeConstantsType::COLOR,Color(0x75181819),TRUE,,,,,,,,,
THEME_CARD_CALENDAR_GREGORIAN_CALENDAR_HEIGHT,THEME_CALENDAR_BASE,61,3561,ThemeConstantsType::DIMENSION,24.0_vp,TRUE,,,,,,,,,
THEME_CARD_CALENDAR_LUNAR_FONT_SIZE,THEME_CALENDAR_BASE,62,3562,ThemeConstantsType::DIMENSION,10.0_vp,TRUE,,,,,,,,,
THEME_CARD_CALENDAR_WORK_DAY_MARK_COLOR,THEME_CALENDAR_BASE,63,3563,ThemeConstantsType::COLOR,Color(0xFFE83F26),TRUE,,,,,,,,,
THEME_CARD_CALENDAR_DAILY_FIVE_ROW_SPACE,THEME_CALENDAR_BASE,64,3564,ThemeConstantsType::DIMENSION,10.0_vp,TRUE,,,,,,,,,
THEME_CARD_CALENDAR_WEEK_AND_DAY_ROW_SPACE,THEME_CALENDAR_BASE,65,3565,ThemeConstantsType::DIMENSION,4.0_vp,TRUE,,,,,,,,,
THEME_CALENDAR_WORK_STATE_HORIZONTAL_MOVING_DISTANCE,THEME_CALENDAR_BASE,66,3566,ThemeConstantsType::DIMENSION,"Dimension(2.0, DimensionUnit::VP)",TRUE,,,,,,ThemeConstantsType::DIMENSION,4.0_vp,TRUE,
THEME_CALENDAR_WORK_STATE_VERTICAL_MOVING_DISTANCE,THEME_CALENDAR_BASE,67,3567,ThemeConstantsType::DIMENSION,"Dimension(16.0, DimensionUnit::VP)",TRUE,,,,,,ThemeConstantsType::DIMENSION,16.0_vp,TRUE,
THEME_CALENDAR_WORK_STATE_CENTER_ADJUSTMENT,THEME_CALENDAR_BASE,68,3568,ThemeConstantsType::DIMENSION,"Dimension(0.0, DimensionUnit::VP)",TRUE,,,,,,ThemeConstantsType::DIMENSION,-2.0_vp,TRUE,
THEME_CALENDAR_DAY_YAXIS_OFFSET,THEME_CALENDAR_BASE,69,3569,ThemeConstantsType::DIMENSION,4.0_vp,TRUE,,,,,,,,,
THEME_CALENDAR_LUNAR_DAY_YAXIS_OFFSET,THEME_CALENDAR_BASE,70,3570,ThemeConstantsType::DIMENSION,23.0_vp,TRUE,,,,,,,,,
