//single phase coef Number:=64,    upsample factor:=256, 
    4,    3,  -12,    8,  -14,   13,  -16,   13,   -9,    0,   14,  -35,   62,  -98,  143, -196,  258, -329,  406, -488,  573, -659,  742, -818,  882, -929,  950, -932,  847, -619, -113,31219, 3040,-2135, 1795,-1580, 1408,-1255, 1110, -971,  838, -711,  593, -483,  384, -297,  221, -157,  104,  -62,   30,   -8,   -8,   17,  -22,   22,  -22,   17,  -16,    8,  -11,    2,    4,    0,
    4,    3,  -12,    8,  -14,   13,  -16,   13,   -9,   -1,   15,  -36,   63, -100,  144, -198,  259, -329,  406, -487,  572, -656,  737, -810,  872, -915,  930, -905,  809, -560, -229,31200, 3176,-2196, 1831,-1604, 1425,-1266, 1117, -975,  840, -712,  592, -482,  383, -295,  219, -155,  102,  -61,   29,   -6,   -9,   18,  -23,   22,  -22,   17,  -16,    8,  -11,    2,    4,    0,
    4,    3,  -12,    8,  -14,   13,  -16,   12,   -8,   -2,   16,  -37,   65, -101,  145, -199,  260, -330,  406, -487,  570, -653,  732, -803,  861, -900,  910, -877,  770, -500, -343,31180, 3313,-2256, 1868,-1628, 1441,-1277, 1124, -980,  842, -713,  592, -481,  381, -293,  217, -153,  100,  -59,   27,   -5,  -10,   18,  -23,   23,  -22,   17,  -16,    8,  -11,    2,    5,    0,
    4,    3,  -12,    8,  -14,   13,  -15,   12,   -8,   -2,   16,  -38,   66, -102,  147, -200,  261, -331,  406, -486,  568, -649,  726, -795,  850, -885,  890, -850,  731, -441, -457,31158, 3450,-2317, 1904,-1652, 1457,-1288, 1131, -984,  845, -713,  592, -480,  379, -291,  215, -151,   98,  -57,   26,   -4,  -11,   19,  -24,   23,  -23,   17,  -16,    8,  -11,    1,    5,    0,
    4,    3,  -12,    7,  -14,   12,  -15,   11,   -7,   -3,   17,  -39,   67, -103,  148, -201,  262, -331,  406, -485,  566, -646,  721, -787,  839, -870,  870, -823,  693, -382, -569,31135, 3588,-2378, 1940,-1676, 1473,-1298, 1138, -988,  847, -714,  591, -479,  378, -289,  213, -149,   97,  -56,   25,   -3,  -12,   20,  -24,   23,  -23,   17,  -16,    8,  -11,    1,    5,    0,
    4,    3,  -12,    7,  -14,   12,  -15,   11,   -7,   -4,   18,  -40,   68, -105,  149, -202,  263, -332,  406, -484,  564, -642,  715, -779,  828, -855,  850, -795,  654, -323, -681,31111, 3727,-2439, 1976,-1699, 1489,-1309, 1145, -992,  849, -715,  590, -477,  376, -287,  211, -147,   95,  -54,   23,   -2,  -13,   21,  -25,   24,  -23,   17,  -16,    8,  -11,    1,    5,    0,
    4,    4,  -12,    7,  -14,   12,  -15,   11,   -6,   -4,   19,  -41,   69, -106,  150, -203,  264, -332,  406, -483,  561, -638,  710, -771,  817, -840,  830, -768,  616, -265, -792,31085, 3866,-2499, 2012,-1723, 1505,-1319, 1152, -996,  851, -715,  590, -476,  374, -285,  208, -145,   93,  -52,   22,   -1,  -14,   21,  -25,   24,  -23,   17,  -16,    8,  -11,    1,    5,    0,
    4,    4,  -12,    7,  -14,   12,  -14,   10,   -6,   -5,   20,  -42,   70, -107,  151, -204,  265, -332,  405, -482,  559, -635,  704, -763,  806, -825,  809, -740,  577, -206, -902,31058, 4007,-2560, 2048,-1746, 1520,-1330, 1158,-1000,  852, -715,  589, -474,  372, -283,  206, -143,   91,  -51,   20,    1,  -15,   22,  -26,   24,  -23,   17,  -16,    8,  -11,    1,    5,    0,
    4,    4,  -12,    7,  -14,   12,  -14,   10,   -5,   -6,   21,  -43,   71, -108,  153, -205,  266, -333,  405, -481,  557, -631,  698, -755,  794, -810,  789, -713,  538, -148,-1011,31029, 4147,-2620, 2083,-1769, 1536,-1340, 1165,-1004,  854, -715,  588, -473,  370, -281,  204, -141,   89,  -49,   19,    2,  -16,   23,  -26,   25,  -24,   18,  -16,    8,  -11,    1,    5,    0,
    4,    4,  -12,    7,  -14,   12,  -14,    9,   -5,   -6,   21,  -44,   72, -109,  154, -206,  266, -333,  405, -479,  554, -627,  692, -746,  783, -794,  768, -685,  500,  -90,-1119,30999, 4289,-2680, 2118,-1791, 1551,-1350, 1171,-1007,  855, -715,  587, -471,  368, -279,  202, -138,   87,  -47,   18,    3,  -17,   23,  -27,   25,  -24,   18,  -16,    8,  -11,    1,    5,    0,
    4,    4,  -12,    7,  -13,   11,  -13,    9,   -4,   -7,   22,  -45,   73, -110,  155, -207,  267, -333,  404, -478,  552, -623,  686, -738,  772, -779,  748, -657,  462,  -32,-1226,30967, 4431,-2740, 2153,-1814, 1565,-1359, 1177,-1010,  857, -715,  586, -470,  366, -276,  200, -136,   85,  -46,   16,    4,  -18,   24,  -27,   25,  -24,   18,  -16,    8,  -11,    1,    5,    0,
    4,    4,  -12,    7,  -13,   11,  -13,    9,   -4,   -8,   23,  -46,   74, -111,  156, -208,  268, -334,  404, -477,  549, -619,  680, -729,  760, -763,  727, -630,  423,   25,-1332,30934, 4573,-2800, 2188,-1836, 1580,-1369, 1183,-1014,  858, -715,  585, -468,  364, -274,  197, -134,   83,  -44,   15,    5,  -18,   25,  -28,   26,  -24,   18,  -16,    8,  -11,    1,    5,    0,
    3,    4,  -12,    7,  -13,   11,  -13,    8,   -3,   -8,   24,  -47,   76, -113,  157, -209,  268, -334,  403, -475,  547, -615,  674, -721,  748, -748,  707, -602,  385,   83,-1437,30900, 4717,-2860, 2223,-1858, 1595,-1378, 1189,-1017,  859, -715,  584, -466,  362, -272,  195, -132,   81,  -42,   13,    6,  -19,   25,  -28,   26,  -24,   18,  -16,    8,  -11,    1,    5,    0,
    3,    4,  -12,    7,  -13,   11,  -13,    8,   -3,   -9,   25,  -48,   77, -114,  158, -210,  269, -334,  403, -474,  544, -610,  668, -712,  736, -732,  686, -574,  346,  140,-1541,30864, 4860,-2920, 2257,-1880, 1609,-1388, 1194,-1020,  860, -715,  583, -464,  360, -269,  193, -130,   79,  -41,   12,    8,  -20,   26,  -29,   26,  -25,   18,  -16,    8,  -11,    1,    5,    0,
    3,    4,  -12,    7,  -13,   11,  -12,    7,   -2,  -10,   25,  -48,   78, -115,  159, -211,  270, -334,  402, -472,  541, -606,  662, -703,  725, -716,  665, -546,  308,  197,-1645,30827, 5005,-2979, 2291,-1902, 1623,-1397, 1200,-1023,  861, -714,  581, -462,  357, -267,  190, -128,   77,  -39,   10,    9,  -21,   27,  -29,   27,  -25,   18,  -16,    8,  -11,    1,    5,    0,
    3,    4,  -12,    7,  -13,   11,  -12,    7,   -2,  -10,   26,  -49,   79, -116,  160, -212,  270, -334,  402, -471,  539, -602,  655, -695,  713, -701,  644, -518,  270,  253,-1747,30789, 5150,-3039, 2325,-1923, 1637,-1406, 1205,-1025,  862, -714,  580, -460,  355, -265,  188, -125,   75,  -37,    9,   10,  -22,   27,  -30,   27,  -25,   18,  -17,    8,  -11,    1,    5,    0,
    3,    4,  -12,    7,  -13,   10,  -12,    7,   -1,  -11,   27,  -50,   80, -117,  161, -213,  271, -334,  401, -469,  536, -597,  649, -686,  701, -685,  623, -491,  232,  310,-1848,30749, 5295,-3098, 2359,-1945, 1651,-1414, 1210,-1028,  863, -713,  578, -458,  353, -262,  186, -123,   73,  -35,    7,   11,  -23,   28,  -30,   27,  -25,   18,  -17,    8,  -11,    1,    5,    0,
    3,    4,  -12,    7,  -13,   10,  -12,    6,   -1,  -12,   28,  -51,   81, -118,  162, -213,  271, -334,  400, -467,  533, -593,  642, -677,  689, -669,  602, -463,  194,  366,-1949,30707, 5441,-3157, 2393,-1966, 1664,-1423, 1215,-1030,  863, -713,  577, -456,  350, -260,  183, -121,   71,  -34,    6,   12,  -24,   29,  -31,   28,  -25,   18,  -17,    8,  -11,    0,    5,    0,
    3,    4,  -12,    7,  -13,   10,  -11,    6,    0,  -12,   29,  -52,   81, -119,  163, -214,  271, -334,  399, -466,  530, -588,  636, -668,  676, -653,  581, -435,  156,  422,-2048,30664, 5588,-3216, 2426,-1987, 1678,-1431, 1220,-1033,  864, -712,  575, -454,  348, -257,  181, -118,   69,  -32,    4,   13,  -25,   29,  -31,   28,  -25,   18,  -17,    8,  -10,    0,    5,    0,
    3,    4,  -12,    7,  -13,   10,  -11,    5,    1,  -13,   29,  -53,   82, -120,  164, -215,  272, -334,  398, -464,  527, -583,  629, -658,  664, -637,  560, -407,  118,  477,-2147,30620, 5735,-3275, 2459,-2007, 1691,-1439, 1225,-1035,  864, -711,  573, -452,  345, -254,  178, -116,   67,  -30,    3,   15,  -26,   30,  -32,   28,  -26,   19,  -17,    8,  -10,    0,    5,    0,
    3,    4,  -12,    7,  -12,   10,  -11,    5,    1,  -14,   30,  -54,   83, -121,  164, -215,  272, -333,  398, -462,  523, -578,  622, -649,  652, -620,  539, -379,   80,  533,-2244,30575, 5883,-3333, 2492,-2028, 1704,-1447, 1229,-1037,  865, -710,  571, -449,  343, -252,  176, -114,   65,  -28,    2,   16,  -27,   31,  -32,   28,  -26,   19,  -17,    8,  -10,    0,    5,    0,
