// single phase coef Number:=40,    upsample factor:=80,     downsample factor:=147
   -1,  -20,  -81, -138,  -54,  150,  147, -195, -314,  225,  578, -212, -985,  114, 1644,  167,-2945,-1031, 7827,15218,12531, 2979,-2962,-1607, 1358, 1090, -671, -763,  302,  520,  -98, -334,   -7,  197,   51, -119, -119,  -46,   -6,    0,
   -1,  -19,  -80, -138,  -57,  148,  150, -191, -317,  217,  581, -198, -985,   90, 1639,  206,-2923,-1105, 7701,15180,12627, 3096,-2938,-1650, 1338, 1111, -656, -774,  292,  525,  -90, -335,  -12,  197,   54, -118, -120,  -47,   -6,    0,
   -1,  -19,  -79, -138,  -59,  146,  152, -186, -319,  208,  583, -183, -985,   66, 1633,  245,-2900,-1178, 7574,15140,12722, 3214,-2912,-1693, 1318, 1132, -640, -784,  281,  530,  -83, -337,  -16,  197,   56, -117, -121,  -48,   -7,    0,
   -1,  -18,  -78, -138,  -61,  143,  155, -181, -322,  200,  585, -168, -985,   42, 1626,  284,-2877,-1250, 7448,15098,12816, 3332,-2885,-1735, 1296, 1152, -625, -795,  269,  535,  -76, -338,  -21,  197,   59, -116, -122,  -48,   -7,    0,
    0,  -18,  -77, -138,  -63,  141,  157, -177, -324,  191,  586, -154, -984,   19, 1619,  323,-2852,-1321, 7321,15055,12908, 3451,-2857,-1777, 1275, 1172, -609, -805,  258,  539,  -68, -340,  -26,  197,   62, -115, -122,  -49,   -7,    0,
    0,  -17,  -76, -137,  -65,  139,  159, -172, -327,  182,  588, -139, -983,   -4, 1611,  361,-2827,-1390, 7194,15010,12999, 3570,-2827,-1819, 1252, 1192, -592, -814,  247,  543,  -60, -341,  -31,  196,   65, -114, -123,  -50,   -7,    0,
    0,  -17,  -75, -137,  -67,  137,  161, -167, -329,  174,  589, -125, -981,  -28, 1603,  398,-2801,-1458, 7067,14963,13089, 3690,-2797,-1860, 1229, 1212, -576, -824,  235,  547,  -52, -342,  -35,  196,   68, -112, -124,  -51,   -8,    0,
    0,  -16,  -75, -137,  -69,  134,  164, -162, -331,  165,  590, -110, -979,  -51, 1594,  435,-2774,-1525, 6940,14914,13177, 3811,-2764,-1901, 1205, 1232, -559, -833,  223,  551,  -45, -343,  -40,  196,   70, -111, -124,  -52,   -8,    0,
    0,  -16,  -74, -137,  -71,  132,  166, -158, -333,  156,  591,  -96, -977,  -74, 1585,  472,-2747,-1591, 6813,14863,13264, 3932,-2731,-1942, 1181, 1251, -542, -842,  211,  555,  -37, -344,  -45,  195,   73, -110, -125,  -53,   -8,    0,
    0,  -15,  -73, -136,  -73,  130,  168, -153, -335,  148,  592,  -82, -974,  -96, 1575,  508,-2718,-1655, 6686,14811,13350, 4053,-2696,-1983, 1156, 1269, -524, -851,  199,  559,  -29, -345,  -50,  195,   76, -108, -126,  -53,   -8,    0,
    0,  -15,  -72, -136,  -75,  127,  170, -148, -336,  139,  592,  -68, -972, -119, 1565,  544,-2689,-1718, 6559,14758,13435, 4175,-2660,-2023, 1131, 1288, -506, -860,  187,  562,  -21, -345,  -55,  194,   78, -107, -126,  -54,   -9,    0,
    0,  -15,  -71, -136,  -77,  125,  172, -143, -338,  131,  592,  -53, -968, -141, 1555,  580,-2660,-1779, 6431,14702,13518, 4298,-2622,-2062, 1105, 1306, -488, -868,  175,  565,  -13, -346,  -60,  193,   81, -106, -127,  -55,   -9,    0,
    0,  -14,  -70, -135,  -79,  123,  173, -138, -339,  122,  592,  -39, -965, -164, 1543,  615,-2629,-1839, 6304,14645,13599, 4421,-2583,-2101, 1078, 1324, -470, -876,  162,  568,   -5, -347,  -65,  193,   84, -104, -128,  -56,   -9,    0,
    0,  -14,  -69, -135,  -81,  120,  175, -133, -341,  113,  592,  -25, -961, -186, 1532,  649,-2598,-1898, 6177,14586,13680, 4544,-2543,-2140, 1051, 1341, -451, -884,  149,  571,    3, -347,  -69,  192,   87, -103, -128,  -57,   -9,    0,
    0,  -14,  -68, -135,  -83,  118,  177, -129, -342,  105,  591,  -11, -957, -207, 1520,  683,-2566,-1956, 6051,14526,13758, 4668,-2501,-2178, 1023, 1358, -432, -892,  137,  574,   12, -347,  -74,  191,   89, -101, -129,  -58,  -10,    0,
    0,  -13,  -67, -134,  -85,  115,  179, -124, -343,   96,  591,    3, -953, -229, 1507,  717,-2534,-2012, 5924,14464,13836, 4792,-2458,-2216,  995, 1375, -413, -899,  124,  577,   20, -347,  -79,  190,   92, -100, -130,  -59,  -10,    0,
    0,  -13,  -66, -134,  -87,  113,  180, -119, -344,   87,  590,   17, -948, -250, 1494,  750,-2501,-2067, 5797,14400,13912, 4917,-2414,-2254,  966, 1391, -393, -906,  111,  579,   28, -347,  -84,  189,   95,  -98, -130,  -60,  -10,    0,
    0,  -12,  -65, -133,  -88,  110,  182, -114, -345,   79,  589,   30, -943, -271, 1481,  782,-2467,-2121, 5671,14335,13986, 5042,-2369,-2291,  937, 1407, -374, -913,   98,  581,   37, -347,  -89,  188,   97,  -97, -131,  -60,  -11,    0,
    0,  -12,  -64, -133,  -90,  108,  183, -109, -345,   70,  588,   44, -937, -292, 1467,  814,-2433,-2173, 5544,14269,14059, 5167,-2322,-2327,  907, 1423, -354, -920,   84,  583,   45, -347,  -94,  187,  100,  -95, -131,  -61,  -11,    0,
    0,  -12,  -63, -132,  -92,  105,  184, -104, -346,   62,  586,   58, -932, -313, 1453,  846,-2398,-2224, 5418,14200,14130, 5293,-2274,-2363,  877, 1438, -334, -926,   71,  585,   53, -347,  -99,  186,  102,  -93, -132,  -62,  -11,    0,
    0,  -11,  -62, -132,  -93,  102,  186,  -99, -347,   53,  585,   71, -926, -334, 1438,  877,-2363,-2274, 5293,14130,14200, 5418,-2224,-2398,  846, 1453, -313, -932,   58,  586,   62, -346, -104,  184,  105,  -92, -132,  -63,  -12,    0,
    0,  -11,  -61, -131,  -95,  100,  187,  -94, -347,   45,  583,   84, -920, -354, 1423,  907,-2327,-2322, 5167,14059,14269, 5544,-2173,-2433,  814, 1467, -292, -937,   44,  588,   70, -345, -109,  183,  108,  -90, -133,  -64,  -12,    0,
    0,  -11,  -60, -131,  -97,   97,  188,  -89, -347,   37,  581,   98, -913, -374, 1407,  937,-2291,-2369, 5042,13986,14335, 5671,-2121,-2467,  782, 1481, -271, -943,   30,  589,   79, -345, -114,  182,  110,  -88, -133,  -65,  -12,    0,
    0,  -10,  -60, -130,  -98,   95,  189,  -84, -347,   28,  579,  111, -906, -393, 1391,  966,-2254,-2414, 4917,13912,14400, 5797,-2067,-2501,  750, 1494, -250, -948,   17,  590,   87, -344, -119,  180,  113,  -87, -134,  -66,  -13,    0,
    0,  -10,  -59, -130, -100,   92,  190,  -79, -347,   20,  577,  124, -899, -413, 1375,  995,-2216,-2458, 4792,13836,14464, 5924,-2012,-2534,  717, 1507, -229, -953,    3,  591,   96, -343, -124,  179,  115,  -85, -134,  -67,  -13,    0,
    0,  -10,  -58, -129, -101,   89,  191,  -74, -347,   12,  574,  137, -892, -432, 1358, 1023,-2178,-2501, 4668,13758,14526, 6051,-1956,-2566,  683, 1520, -207, -957,  -11,  591,  105, -342, -129,  177,  118,  -83, -135,  -68,  -14,    0,
    0,   -9,  -57, -128, -103,   87,  192,  -69, -347,    3,  571,  149, -884, -451, 1341, 1051,-2140,-2543, 4544,13680,14586, 6177,-1898,-2598,  649, 1532, -186, -961,  -25,  592,  113, -341, -133,  175,  120,  -81, -135,  -69,  -14,    0,
    0,   -9,  -56, -128, -104,   84,  193,  -65, -347,   -5,  568,  162, -876, -470, 1324, 1078,-2101,-2583, 4421,13599,14645, 6304,-1839,-2629,  615, 1543, -164, -965,  -39,  592,  122, -339, -138,  173,  123,  -79, -135,  -70,  -14,    0,
