// single phase coef Number:=24,    upsample factor:=160,     downsample factor:=147
  -22, -229,  119, -101,   56,   41, -220,  523,-1043, 2030,-4557,29625, 8882,-4051, 2571,-1788, 1276, -905,  626, -416,  269, -200,  -95,    0,
  -21, -228,  115,  -94,   46,   56, -241,  554,-1087, 2095,-4665,29493, 9140,-4138, 2616,-1814, 1290, -913,  629, -417,  269, -198,  -97,    0,
  -21, -227,  111,  -88,   36,   71, -263,  584,-1130, 2159,-4770,29358, 9399,-4224, 2660,-1839, 1304, -920,  633, -418,  268, -196,  -98,    0,
  -20, -226,  107,  -82,   27,   86, -284,  614,-1172, 2221,-4871,29220, 9659,-4309, 2703,-1863, 1318, -927,  636, -419,  268, -194, -100,    0,
  -20, -226,  103,  -75,   17,  100, -305,  643,-1214, 2283,-4970,29078, 9920,-4394, 2746,-1887, 1332, -934,  639, -420,  267, -191, -101,    0,
  -19, -225,   99,  -69,    7,  115, -326,  673,-1255, 2343,-5067,28933,10181,-4477, 2788,-1911, 1345, -941,  642, -420,  266, -189, -103,    0,
  -19, -223,   95,  -63,   -3,  129, -346,  702,-1296, 2402,-5160,28785,10443,-4559, 2829,-1934, 1357, -948,  644, -421,  265, -187, -104,    0,
  -18, -222,   91,  -56,  -12,  143, -366,  730,-1336, 2459,-5250,28634,10706,-4640, 2869,-1956, 1370, -954,  647, -421,  264, -185, -106,    0,
  -17, -221,   87,  -50,  -22,  158, -386,  758,-1375, 2515,-5338,28479,10969,-4720, 2909,-1977, 1381, -959,  649, -421,  263, -182, -107,    0,
  -17, -220,   83,  -44,  -31,  171, -406,  786,-1413, 2570,-5422,28321,11233,-4799, 2947,-1998, 1392, -965,  651, -421,  262, -180, -109,    0,
  -16, -219,   79,  -37,  -41,  185, -426,  813,-1451, 2624,-5504,28160,11497,-4877, 2985,-2019, 1403, -970,  653, -421,  261, -178, -110,    0,
  -16, -218,   74,  -31,  -50,  199, -445,  840,-1488, 2676,-5583,27996,11762,-4954, 3022,-2038, 1414, -975,  654, -420,  260, -175, -112,    0,
  -15, -217,   70,  -25,  -60,  213, -464,  866,-1524, 2727,-5659,27829,12027,-5029, 3058,-2057, 1424, -979,  655, -420,  258, -173, -113,    0,
  -15, -216,   66,  -19,  -69,  226, -483,  892,-1560, 2777,-5732,27659,12292,-5104, 3093,-2076, 1433, -984,  657, -419,  257, -170, -115,    0,
  -14, -214,   62,  -13,  -78,  239, -502,  917,-1594, 2825,-5802,27486,12557,-5177, 3127,-2094, 1442, -987,  657, -418,  255, -167, -117,    0,
  -14, -213,   58,   -7,  -87,  252, -520,  942,-1628, 2872,-5870,27310,12823,-5248, 3160,-2111, 1450, -991,  658, -417,  253, -165, -118,    0,
  -14, -212,   54,    0,  -96,  265, -538,  967,-1661, 2918,-5934,27131,13089,-5318, 3193,-2127, 1458, -994,  658, -416,  252, -162, -120,    0,
  -13, -211,   50,    6, -105,  278, -556,  991,-1694, 2962,-5996,26949,13355,-5387, 3224,-2143, 1466, -997,  659, -415,  250, -159, -121,    0,
  -13, -209,   46,   12, -114,  291, -573, 1014,-1725, 3005,-6055,26764,13621,-5455, 3254,-2158, 1473, -999,  658, -414,  248, -157, -123,    0,
  -12, -208,   41,   18, -123,  303, -590, 1037,-1756, 3047,-6111,26577,13887,-5521, 3283,-2172, 1479,-1001,  658, -412,  246, -154, -125,    0,
  -12, -207,   37,   24, -132,  316, -607, 1060,-1786, 3087,-6164,26387,14153,-5585, 3312,-2186, 1485,-1003,  658, -411,  243, -151, -126,   -1,
  -11, -205,   33,   30, -140,  328, -624, 1082,-1815, 3126,-6215,26194,14419,-5648, 3339,-2198, 1491,-1004,  657, -409,  241, -148, -128,   -1,
  -11, -204,   29,   35, -149,  340, -640, 1103,-1844, 3163,-6262,25998,14684,-5710, 3365,-2210, 1496,-1006,  656, -407,  239, -145, -130,   -1,
  -11, -203,   25,   41, -157,  351, -656, 1124,-1871, 3199,-6307,25800,14950,-5769, 3390,-2222, 1500,-1006,  654, -404,  236, -142, -131,   -1,
  -10, -201,   21,   47, -165,  363, -671, 1145,-1898, 3233,-6350,25599,15215,-5827, 3414,-2232, 1504,-1007,  653, -402,  234, -139, -133,   -1,
  -10, -200,   17,   53, -174,  374, -687, 1165,-1924, 3267,-6389,25396,15480,-5884, 3436,-2242, 1507,-1006,  651, -400,  231, -136, -134,   -1,
  -10, -198,   12,   58, -182,  386, -701, 1184,-1949, 3298,-6426,25190,15744,-5939, 3458,-2251, 1510,-1006,  649, -397,  228, -133, -136,   -1,
   -9, -197,    8,   64, -190,  396, -716, 1203,-1973, 3329,-6460,24982,16008,-5992, 3479,-2259, 1513,-1005,  647, -394,  226, -130, -138,   -1,
   -9, -195,    4,   70, -198,  407, -730, 1222,-1996, 3357,-6491,24771,16272,-6043, 3498,-2267, 1514,-1004,  644, -391,  223, -127, -139,   -1,
   -8, -194,    0,   75, -205,  418, -744, 1240,-2018, 3385,-6520,24558,16535,-6092, 3516,-2273, 1516,-1003,  642, -388,  220, -123, -141,   -1,
   -8, -192,   -4,   81, -213,  428, -758, 1257,-2040, 3411,-6546,24343,16797,-6140, 3533,-2279, 1516,-1001,  639, -385,  217, -120, -143,   -2,
   -8, -191,   -8,   86, -221,  438, -771, 1274,-2061, 3436,-6569,24125,17059,-6186, 3549,-2284, 1516, -999,  635, -382,  213, -117, -144,   -2,
   -8, -189,  -12,   92, -228,  448, -784, 1290,-2081, 3459,-6590,23906,17320,-6230, 3563,-2289, 1516, -996,  632, -378,  210, -113, -146,   -2,
   -7, -188,  -16,   97, -235,  458, -797, 1306,-2100, 3481,-6608,23684,17581,-6272, 3577,-2292, 1515, -993,  628, -374,  207, -110, -148,   -2,
   -7, -186,  -20,  102, -243,  468, -809, 1321,-2118, 3501,-6623,23460,17840,-6311, 3589,-2295, 1513, -990,  624, -371,  203, -107, -149,   -2,
   -7, -185,  -24,  107, -250,  477, -821, 1336,-2135, 3520,-6636,23234,18099,-6349, 3599,-2296, 1511, -986,  620, -367,  200, -103, -151,   -2,
   -6, -183,  -28,  112, -257,  486, -832, 1350,-2151, 3538,-6646,23006,18356,-6385, 3609,-2297, 1509, -982,  616, -363,  196, -100, -153,   -2,
   -6, -182,  -32,  117, -263,  495, -844, 1363,-2167, 3554,-6654,22776,18613,-6419, 3617,-2297, 1505, -977,  611, -358,  192,  -96, -154,   -3,
   -6, -180,  -36,  122, -270,  504, -854, 1376,-2182, 3568,-6659,22544,18869,-6451, 3624,-2297, 1501, -972,  606, -354,  189,  -93, -156,   -3,
   -6, -179,  -40,  127, -277,  512, -865, 1388,-2195, 3582,-6662,22310,19123,-6481, 3630,-2295, 1497, -967,  601, -349,  185,  -89, -158,   -3,
   -5, -177,  -44,  132, -283,  520, -875, 1400,-2208, 3594,-6662,22074,19377,-6508, 3634,-2292, 1492, -962,  596, -344,  181,  -85, -159,   -3,
   -5, -175,  -48,  137, -289,  528, -885, 1411,-2220, 3604,-6660,21837,19629,-6534, 3637,-2289, 1487, -956,  590, -340,  177,  -82, -161,   -3,
   -5, -174,  -52,  142, -295,  536, -894, 1422,-2231, 3613,-6655,21598,19880,-6557, 3639,-2285, 1481, -949,  584, -335,  173,  -78, -162,   -3,
   -5, -172,  -56,  146, -301,  544, -903, 1432,-2242, 3621,-6648,21357,20130,-6578, 3639,-2280, 1474, -942,  578, -329,  169,  -74, -164,   -4,
   -4, -171,  -59,  151, -307,  551, -912, 1442,-2251, 3628,-6639,21114,20378,-6596, 3638,-2274, 1467, -935,  572, -324,  164,  -71, -166,   -4,
